#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701    0.775671
           1          13   -0.756972    0.777142
           2          20   -0.338851    0.907494
           3          14    -0.80281    0.548461
           4          30   -0.590724  -0.0585881
           5          16    -0.38172 -0.00630238
           6           4   -0.375209   -0.163681
           7           1   -0.472461   -0.443484
           8          11   -0.735868   -0.219475
           9          10   -0.910847   -0.235788
          10           8   -0.581242   -0.436635
          11          32   -0.515839   -0.612524
          12           7   -0.637528   -0.835394
          13          21   -0.402767   -0.655318
          14          33    -0.30192   -0.391426
          15          18   -0.213259   -0.389803
          16           5  -0.0955379   -0.449563
          17          24  -0.0189375   -0.116348
          18          15      -0.043   -0.025451
          19          22     0.20358   -0.183752
          20           9     0.22243   -0.479118
          21          25    0.218965   -0.522159
          22          17   -0.075228   -0.984169
          23           3     0.14145   -0.828903
          24           6    0.291696   -0.553618
          25          29    0.681776   -0.358376
          26           2    0.612003  -0.0666376
          27          28    0.673393    0.235633
          28          27     0.41086    0.744286
          29          31    0.312774    0.589476
          30          12    0.334843    0.523358
          31          19    0.286225    0.517495
          32          26   -0.348521    0.359016
          33          23   -0.522212    0.894169
