#    Position:        Index:           x_coord:          y_coord:
           0           0   -0.754701   -0.166259
           1          30   -0.546417   -0.238267
           2           3   -0.302293   -0.329622
           3          18   -0.223567   -0.126496
           4          29    0.191687   -0.550546
           5          23    0.195885   -0.920947
           6           8    0.375987   -0.950509
           7           5    0.397613   -0.795675
           8          19    0.707524   -0.331845
           9          12    0.941082    0.498847
          10          26    0.928774    0.703493
          11          20    0.870974    0.756382
          12          13     0.28275    0.428229
          13           1    0.430994    0.673627
          14          10    0.357716    0.880553
          15          25    0.224495    0.841654
          16          15   0.0341687    0.988243
          17           4   -0.713552     0.83951
          18          11   -0.827576    0.789111
          19           2   -0.872741    0.601955
          20          28   -0.955323    0.364407
          21          33   -0.782402    0.391485
          22           9   -0.713772    0.248594
          23          32   -0.747157   0.0325322
          24          16   -0.763736  -0.0373062
          25           6   -0.445617   -0.103735
          26          22   -0.449743   -0.398226
          27          14   -0.152377   -0.446764
          28          31   -0.143248   -0.673885
          29           7   -0.450634   -0.969939
          30          21    -0.55633   -0.953685
          31          24   -0.721493   -0.773494
          32          17   -0.715684   -0.754607
          33          27   -0.871539   -0.414246
